,count,mean,std,min,25%,50%,75%,max
layer_height_mm,50.0,0.0416,0.016081425462251758,0.02,0.02,0.04,0.06,0.06
infill_density_%,50.0,54.8,29.363311830116388,10.0,40.0,70.0,85.0,90.0
bed_temperature_c,50.0,72.98,7.369241092929059,61.0,67.25,72.5,79.75,84.0
print_speed_mm_s,50.0,40.0,0.0,40.0,40.0,40.0,40.0,40.0
fan_speed_m_s,50.0,49.5,35.88885905238049,0.0,25.0,50.0,75.0,100.0
nozzle_diameter_mm,50.0,0.42,0.16288220358559113,0.2,0.2,0.4,0.6,0.6
build_volume_cm3,50.0,1958.58,543.7535489914675,1069.0,1569.0,1966.0,2347.75,2970.0
filament_diameter_mm,50.0,2.2119999999999997,0.548426320093619,1.75,1.75,1.75,2.85,2.85
melting_temperature_c,50.0,213.4,20.69999507049138,180.0,196.75,214.5,228.75,249.0
retraction_distance_mm,50.0,3.4762000000000004,1.4132129986636257,1.31,2.245,3.38,4.74,5.94
retraction_speed_mm_s,50.0,38.28,12.121897877942436,20.0,26.25,38.0,47.0,59.0
flow_rate_%,50.0,99.86,5.333796748574325,90.0,96.0,100.0,105.0,109.0
acceleration_mm_s2,50.0,1849.42,728.0555902188922,523.0,1289.5,1982.5,2457.0,2880.0
linear_advance,50.0,0.5413999999999999,0.24517390745746007,0.17,0.33,0.555,0.7075,1.0
loading_rate_n_s,50.0,28.0,10.663690060869442,12.0,20.25,26.0,36.75,49.0
