,count,mean,std,min,25%,50%,75%,max
layer_height,50.0,0.10600000000000001,0.06439672954048369,0.02,0.06,0.1,0.15,0.2
wall_thickness,50.0,5.22,2.9227468209873804,1.0,3.0,5.0,7.0,10.0
infill_density,50.0,53.4,25.363480093413436,10.0,40.0,50.0,80.0,90.0
nozzle_temperature,50.0,221.5,14.820352800890307,200.0,210.0,220.0,230.0,250.0
bed_temperature,50.0,70.0,7.142857142857143,60.0,65.0,70.0,75.0,80.0
print_speed,50.0,64.0,29.69229955832361,40.0,40.0,60.0,60.0,120.0
fan_speed,50.0,50.0,35.714285714285715,0.0,25.0,50.0,75.0,100.0
roughness,50.0,170.58,99.03412934695899,21.0,92.0,165.5,239.25,368.0
tension_strenght,50.0,20.08,8.925633802454042,4.0,12.0,19.0,27.0,37.0
elongation,50.0,1.6720000000000002,0.788188312731501,0.4,1.1,1.55,2.1750000000000003,3.3
